Name,Birthday,Nationality
Tom Hanks,1956-07-09,USA
Leonardo DiCaprio,1974-11-11,USA
Brad Pitt,1963-12-18,USA
Meryl Streep,1949-06-22,USA
Robert Downey Jr.,1965-04-04,USA
Scarlett Johansson,1984-11-22,USA
Denzel Washington,1954-12-28,USA
Jennifer Lawrence,1990-08-15,USA
Julia Roberts,1967-10-28,USA
Will Smith,1968-09-25,USA
Matt Damon,1970-10-08,USA
Natalie Portman,1981-06-09,USA
Johnny Depp,1963-06-09,USA
Angelina Jolie,1975-06-04,USA
Cameron Diaz,1972-08-30,USA
Jennifer Aniston,1969-02-11,USA
Vin Diesel,1967-07-18,USA
Anne Hathaway,1982-11-12,USA
Jim Carrey,1962-01-17,USA
Emma Stone,1988-11-06,USA
Tom Cruise,1962-07-03,USA
Sandra Bullock,1964-07-26,USA
Chris Hemsworth,1983-08-11,USA
Mark Wahlberg,1971-06-05,USA
Emma Watson,1990-04-15,USA
Kate Winslet,1975-10-05,USA
Chris Evans,1981-06-13,USA
Harrison Ford,1942-07-13,USA
Chris Pratt,1979-06-21,USA
Wagner Moura,1976-06-27,BRAZIL
Lázaro Ramos,1978-11-01,BRAZIL
Grazi Massafera,1982-06-28,BRAZIL
Rodrigo Santoro,1975-08-22,BRAZIL
Fernanda Montenegro,1929-10-16,BRAZIL
Juliana Paes,1979-03-26,BRAZIL
Selton Mello,1972-12-30,BRAZIL
Marília Pêra,1943-01-22,BRAZIL
Débora Falabella,1979-02-22,BRAZIL
Giovanna Antonelli,1976-03-18,BRAZIL
Wagner Moura,1976-06-27,BRAZIL
Camila Pitanga,1977-06-14,BRAZIL
Taís Araújo,1978-11-25,BRAZIL
Lázaro Ramos,1978-11-01,BRAZIL
